title,sub,category,impact,emoji,comparison,comment,action_title,action_desc,action_level,action_points,action_saving
1 Cheeseburger,Single serving,FOOD,3.2,🍔,~166 kg/year if eaten weekly,The beef patty alone accounts for over 70% of the footprint — the bun and packaging are a tiny fraction,,,,,
100km by Train,Rail travel,TRANSPORT,6,🚆,About 4x less than the same trip by car,Irish Rail has committed to full electrification by 2030 — the footprint will fall further as the grid gets greener,,,,,
1kg of Coffee Beans,Production,FOOD,15,☕,~180 kg/year at 1 kg/month,Coffee production requires significant water consumption,Switch to a certified sustainable coffee brand,"Look for Rainforest Alliance or organic certification next time you buy beans or ground coffee.",beginner,50,Reduces water use and land pressure per kg of beans
100km by Car,Petrol average,TRANSPORT,25,🚗,~4000 kg/year at 16000 km driven,Excludes manufacturing; also causes local air pollution and health impacts,Replace one car journey with public transport this week,"Even one return trip by bus or train instead of car saves roughly 50 kg CO₂ over the year if done weekly.",beginner,75,~50 kg CO₂ saved/year if done weekly
1kg Lamb,Meat production,FOOD,28,🐑,~365 kg/year for someone eating lamb once a week,Sheep produce more methane relative to their size than cattle — which is why lamb often has a higher footprint per kg than beef,Try one lamb-free week this month,"Lamb has one of the highest footprints of any meat. Swapping it for chicken or legumes makes a real difference.",beginner,50,~28 kg CO₂ saved per kg avoided
1 Pair Leather Shoes,Production,FASHION,30,👞,Same as driving a petrol car about 120 km,The tanning process for leather is highly polluting; most leather is a by-product of the beef industry,Buy your next pair of shoes second-hand or from a sustainable brand,"Manufacturing one pair of leather shoes produces ~30 kg CO₂. Second-hand or vegan alternatives cut that dramatically.",intermediate,75,Up to 30 kg CO₂ saved per pair
1 Fast Fashion T-Shirt,Manufacturing,FASHION,6,👕,Same as leaving a phone charger plugged in for 6 months,~96% of cotton is grown with pesticides; fast fashion creates 92M tonnes of waste per year,,,,,
1 Pair of Jeans,Manufacturing,FASHION,33,👖,Same footprint as driving ~130 km in a petrol car,Takes ~7500 litres of water to produce one pair; equivalent to ~7 years of drinking water,,,,,
1kg Beef,Meat production,FOOD,60,🥩,~3 kg CO₂ per 100g serving — like leaving a laptop running for a week,Beef and dairy together account for roughly 65% of all agricultural greenhouse gas emissions globally,Try one beef-free week,"Beef is the highest-impact common food. Replacing it with chicken, fish or plant protein just once a week adds up.",beginner,75,~60 kg CO₂ saved per kg avoided
1 Smartphone,Manufacturing,DIGITAL,70,📱,Same as charging your phone every day for 185 years,About 80% of a phone's lifetime footprint comes from manufacturing — not from using it,Keep your current phone for one more year,"Manufacturing a new smartphone produces ~70 kg CO₂. The best phone for the planet is the one you already own.",beginner,75,~70 kg CO₂ saved
1 Bicycle,Manufacturing,TRANSPORT,96,🚲,Same as a return Dublin–Belfast train journey,Manufacturing is the main footprint — once built a bike produces zero emissions per km,Buy your next bike second-hand,"Manufacturing a new bicycle uses ~96 kg CO₂. Second-hand bikes cut that to near zero — and save money too.",beginner,50,Up to 96 kg CO₂ saved
Dublin–Holyhead Ferry,Return crossing,TRANSPORT,38,⛴️,A return flight Dublin–Manchester emits ~3x more CO₂,Ferry + train to the UK is often competitive in time once you factor in airport check-in — and far lower carbon,,,,,
1 Rasher of Bacon,Single rasher,FOOD,0.14,🥓,~18 kg/year for one rasher per day,Pork has a lower footprint than beef or lamb but still 4x higher than chicken per kg,,,,,
1 New Electric Car,Manufacturing,TRANSPORT,8000,⚡,~3x lower lifetime emissions than a new petrol car,EVs break even vs petrol cars after ~2-3 years of use; lifetime emissions still significantly lower,,,,,
Paris Olympics Visit,Per visitor,SPORT,125,🏅,1.6 Mt total for 13-16M visitors,Lower than Tokyo; half of London Olympics impact,Choose a local or low-travel event for your next big trip,"A single major sporting event visit can cost 125 kg CO₂. Choosing an event within driving distance makes a big difference.",intermediate,75,~125 kg CO₂ saved per trip avoided
1 Laptop,Manufacturing,DIGITAL,300,💻,Same as flying Dublin to London and back,About 75% of a laptop's total footprint happens during manufacturing — before you even switch it on,Repair or refurbish your laptop instead of buying new,"A new laptop produces ~300 kg CO₂ in manufacturing alone. Most repairs cost a fraction of that — and extend its life by years.",intermediate,100,Up to 300 kg CO₂ saved
Dublin–Madrid Flight,Return economy,TRANSPORT,550,✈️,2.2 tonnes/year for 4 yearly trips,Aviation represents 2.5% of global emissions; very inequitably distributed,Replace one short-haul flight with a train or ferry,"A return Dublin–Madrid flight produces ~550 kg CO₂. For journeys under 5–6 hours, train is usually feasible and far lower impact.",intermediate,150,~550 kg CO₂ saved per trip
1 Year Digital Life,Email streaming etc.,DIGITAL,636,🌐,1844 kg/year for a 2.9-person household,Digital sector produces 4% of GHG projected to reach 14% by 2040,Enable downloads instead of streaming this week,"Streaming constantly uses data centres. Downloading music or videos on Wi-Fi, then watching offline, cuts that energy use significantly.",beginner,50,Part of your ~636 kg/year digital footprint
1 Year Pet Dog,Annual care,HOUSEHOLD,770,🐕,Similar to a return flight from Dublin to New York,Most of a dog's footprint comes from their meat-based food — switching to a lower-carbon brand makes a real difference,Switch your dog to a lower-impact food brand,"A dog's annual footprint is ~770 kg CO₂, mostly from meat-based food. Several brands now offer lower-carbon recipes with insect or plant protein.",intermediate,100,Could reduce pet footprint by 20–40%
1 Ton Cement,Production,CONSTRUCTION,900,🏗️,~200 kg for a 10 m² terrace (10 cm thick),Cement production accounts for about 8% of global CO₂ emissions — more than all the world's trucks combined,Ask about lower-carbon materials for your next home project,"Cement production is highly carbon-intensive. For patios, paths or small builds, alternatives like recycled aggregate or timber can be used.",advanced,100,~900 kg CO₂ per tonne avoided
1 Year Food Waste,Household average,FOOD,1600,🗑️,~30% of food is wasted,Waste generates methane; a major impact-reduction opportunity,Plan your meals this week to reduce food waste,"The average household wastes enough food to produce 1,600 kg CO₂ a year. A simple weekly plan and checking your fridge before shopping can cut that by half.",beginner,100,Up to 800 kg CO₂ saved/year
NY–London Flight,Return economy,TRANSPORT,1800,🛫,Business class is even higher,Aviation represents 2.5% of global emissions; very inequitably distributed,Offset your next long-haul flight — and consider flying less,"A return NY–London flight produces ~1,800 kg CO₂. High-quality carbon offsets through Gold Standard can neutralise that while you reduce flying long-term.",advanced,150,~1800 kg CO₂ offset
$10K in a Dirty Bank,Yearly lending impact,FINANCE,2400,🏦,More than flying return from Dublin to Australia,20-30% of bank lending goes to carbon-intensive industry,Check if your bank funds fossil fuels — and consider switching,"€10K in a fossil-fuel-lending bank generates ~2,400 kg CO₂/year through loans. Green banks like Triodos exist and are fully regulated.",advanced,200,Up to 2400 kg CO₂/year avoided
New Small Car,Citroen C1 manufacturing,TRANSPORT,4000,🚙,Same as an average Irish person's entire carbon footprint for 5 months,Even the smallest new car carries a large manufacturing footprint — second-hand is always the lower-carbon choice,Consider a second-hand or electric car for your next purchase,"Manufacturing a new small car produces ~4,000 kg CO₂. Buying second-hand avoids that entirely. EVs have a lower lifetime footprint even accounting for the battery.",advanced,150,~4000 kg CO₂ saved vs. new petrol car
New Range Rover,Manufacturing,TRANSPORT,25000,🏎️,Same as heating an Irish home for nearly 6 years,One of the highest manufacturing footprints of any consumer product you can buy,Consider a smaller second-hand or electric vehicle next time,"A new Range Rover produces ~25,000 kg CO₂ in manufacturing — one of the highest of any consumer product. Even a new mid-size EV is dramatically lower.",advanced,200,~20000+ kg CO₂ saved vs. new large SUV
1kg Asparagus,Fresh production,FOOD,0.4,🌿,Flown from Peru it jumps to ~12 kg CO₂ — 30x higher,Asparagus is often imported out of season; shipped from Peru it rises to 0.67 kg but flown it can reach almost 12 kg,,,,,
